,fa_dun_dev,PredictionRunName,cart_bonded,fa_intra_sol_xover4,yhh_planarity,total,fa_intra_elec,fa_dun_semi,pro_close,hbond_sr_bb,fa_sol,lk_ball_bridge,rama_prepro,hbond_sc,ScoreMethodID,ref,ExperimentalDDG,hbond_bb_sc,lk_ball_wtd,lk_ball_iso,fa_intra_rep_xover4,fa_dun,fa_intra_rep,StructureOrder,fa_rep,lk_ball,fa_dun_rot,omega,fa_elec,hbond_lr_bb,hxl_tors,fa_atr,lk_ball_bridge_uncpl,fa_intra_atr_xover4,p_aa_pp,PredictionID,rama,DataSetID
11,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,2.1752,,,-0.0,0.0,-1.111,,0.0,0.0242,30000,0.0,2.1978,0.0083,0.0404,,,0.0,0.0,id_50,-0.3897,,,0.0,0.0886,-0.0102,,3.5245,,,0.0,146106,,1
35,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,6.0498,,,-0.0,-0.0,0.2129,,0.0,0.0056,30000,0.0,4.6936,0.0151,0.188,,,0.0,0.0,id_50,-0.6716,,,0.0,0.1105,-0.0184,,6.2077,,,0.0,146107,,2
59,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.0712,,,-0.0,-0.0,-0.0764,,0.0,-0.0181,30000,0.0,3.0829,0.0183,0.0226,,,0.0,0.0,id_50,0.0011,,,0.0,-0.0843,0.0181,,0.0474,,,0.0,146108,,3
83,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.1804,,,0.0,0.0,-0.3106,,0.0,-0.1967,30000,0.0,2.9278,0.0953,-0.1217,,,0.0,0.0,id_50,-0.0418,,,0.0,0.3266,-0.0115,,0.0801,,,0.0,146109,,4
107,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,0.2191,,,-0.0,0.0,-0.3511,,0.0,-0.0089,30000,0.0,3.2407,0.0243,-0.0538,,,0.0,0.0,id_50,0.0113,,,0.0,0.438,-0.0018,,0.161,,,0.0,146110,,5
131,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,0.2234,,,0.0,0.0,-0.478,,0.0,-0.0068,30000,0.0,5.0675,0.0401,0.0147,,,0.0,0.0,id_50,-0.0854,,,0.0,0.3835,0.034,,0.3215,,,0.0,146111,,6
155,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-1.673,,,-0.0,0.0,-13.0088,,0.0,0.0845,30000,0.0,1.9939,0.1923,0.51,,,0.0,0.0,id_50,-0.9232,,,0.0,2.8391,-0.2319,,8.8651,,,0.0,146112,,7
179,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.7704,,,-0.0,0.0,-1.4693,,0.0,-0.0349,30000,0.0,0.5554,-0.0182,0.0774,,,0.0,0.0,id_50,0.0207,,,0.0,0.0997,0.0,,0.5541,,,0.0,146113,,8
203,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,2.0474,,,0.0,-0.0,-2.2116,,0.0,2.6258,30000,0.0,0.248,0.0234,-0.1331,,,0.0,0.0,id_50,0.1618,,,0.0,0.8444,-0.0,,0.7369,,,0.0,146114,,9
227,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,6.0566,,,-0.0,-0.0,-8.4651,,0.0,1.2461,30000,0.0,6.8124,-0.0069,0.0508,,,0.0,0.0,id_50,-0.9684,,,0.0,6.6539,0.0,,7.5463,,,0.0,146115,,10
251,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,10.199,,,0.0,-0.0,-4.447,,0.0,2.8069,30000,0.0,6.6383,-0.0698,-0.0106,,,0.0,0.0,id_50,-0.763,,,0.0,1.3212,-0.0,,11.3614,,,0.0,146116,,11
275,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.4481,,,0.0,-0.0,-6.6504,,0.0,0.2564,30000,0.0,6.974,0.3134,0.8305,,,0.0,0.0,id_50,-0.6173,,,0.0,1.7916,-0.0,,9.5239,,,0.0,146117,,12
299,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,3.946,,,-0.0,0.0,-11.3118,,0.0,1.2398,30000,0.0,6.7643,0.2483,0.1049,,,0.0,0.0,id_50,-0.8909,,,0.0,8.3875,0.0,,6.1683,,,0.0,146118,,13
323,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,7.9215,,,0.0,0.0,-12.8815,,0.0,1.5124,30000,0.0,10.1004,0.357,0.4552,,,0.0,0.0,id_50,-1.2123,,,0.0,8.1857,-0.0,,11.505,,,0.0,146119,,14
347,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,11.1375,,,-0.0,0.0,-8.4891,,0.0,2.3706,30000,0.0,8.5256,-0.0151,0.737,,,0.0,0.0,id_50,-1.2286,,,0.0,2.5319,0.0,,15.2308,,,0.0,146120,,15
371,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,4.8513,,,-0.0,-0.0,-4.7585,,0.0,0.921,30000,0.0,3.2342,-0.0005,-0.4811,,,0.0,0.0,id_50,-0.894,,,0.0,5.7311,-0.0,,4.3334,,,0.0,146121,,16
395,,zemu_1.2-60000_rscript_validated-ref,,-0.0,0.0,3.3883,,,-0.0,-0.0,-4.9695,,0.0,0.9673,30000,0.0,6.6603,-0.2748,-0.1582,,,0.0,0.0,id_50,-0.6622,,,0.0,4.4353,0.0,,4.0505,,,0.0,146122,,17
419,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,2.945,,,0.0,0.0,-7.0721,,0.0,0.5212,30000,0.0,4.1066,-0.0323,0.1487,,,0.0,0.0,id_50,-0.8925,,,0.0,5.1309,-0.0,,5.141,,,0.0,146123,,18
443,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,11.5765,,,-0.0,-0.0,-7.0522,,0.0,3.4142,30000,0.0,6.4454,0.0261,-0.7212,,,0.0,0.0,id_50,-1.3871,,,0.0,6.9094,0.0,,10.3875,,,0.0,146124,,19
