,fa_dun_dev,PredictionRunName,cart_bonded,fa_intra_sol_xover4,yhh_planarity,total,fa_intra_elec,fa_dun_semi,pro_close,hbond_sr_bb,fa_sol,lk_ball_bridge,rama_prepro,hbond_sc,ScoreMethodID,ref,ExperimentalDDG,hbond_bb_sc,lk_ball_wtd,lk_ball_iso,fa_intra_rep_xover4,fa_dun,fa_intra_rep,StructureOrder,fa_rep,lk_ball,fa_dun_rot,omega,fa_elec,hbond_lr_bb,hxl_tors,fa_atr,lk_ball_bridge_uncpl,fa_intra_atr_xover4,p_aa_pp,PredictionID,rama,DataSetID
11,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,3.067,,,-0.0,-0.0,-0.5828,,,0.0077,30000,0.0,2.1978,0.0379,,,,0.0,0.0,id_50,-0.6062,,,0.0,-0.0337,-0.0124,,4.2564,,,0.0,152306,0.0,1
35,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.881,,,-0.0,-0.0,-0.6503,,,0.005,30000,0.0,4.6936,0.0173,,,,0.0,0.0,id_50,-0.5556,,,0.0,-0.043,-0.0195,,6.1271,,,0.0,152307,0.0,2
59,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.1693,,,-0.0,-0.0,-0.2688,,,-0.0531,30000,0.0,3.0829,0.0169,,,,0.0,0.0,id_50,-0.0184,,,0.0,-0.0006,-0.0362,,0.191,,,0.0,152308,0.0,3
83,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.5947,,,0.0,0.0,-0.2325,,,0.1429,30000,0.0,2.9278,0.1635,,,,0.0,0.0,id_50,0.0837,,,0.0,0.4328,-0.009,,0.0134,,,0.0,152309,0.0,4
107,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.5807,,,0.0,0.0,-0.2496,,,0.0891,30000,0.0,3.2407,0.2664,,,,0.0,0.0,id_50,0.0688,,,0.0,0.3561,-0.0085,,0.0585,,,0.0,152310,0.0,5
131,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.5908,,,-0.0,-0.0,-0.36,,,0.1825,30000,0.0,5.0675,0.2931,,,,0.0,0.0,id_50,0.0299,,,0.0,0.1696,0.0044,,0.2712,,,0.0,152311,0.0,6
155,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.219,,,-0.0,-0.0,-7.1039,,,0.057,30000,0.0,1.9939,0.3897,,,,0.0,0.0,id_50,-0.58,,,0.0,0.9678,-0.1337,,6.6222,,,0.0,152312,0.0,7
179,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.4935,,,-0.0,0.0,-1.21,,,0.0189,30000,0.0,0.5554,-0.0301,,,,0.0,0.0,id_50,0.0176,,,0.0,0.1408,0.0,,0.5692,,,0.0,152313,0.0,8
203,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.2551,,,0.0,0.0,-1.9041,,,2.1309,30000,0.0,0.248,0.0174,,,,0.0,0.0,id_50,0.0481,,,0.0,1.1113,-0.0,,0.8513,,,0.0,152314,0.0,9
227,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.2198,,,-0.0,-0.0,-5.6912,,,0.8799,30000,0.0,6.8124,0.0793,,,,0.0,0.0,id_50,-0.5108,,,0.0,1.9336,0.0,,7.5292,,,0.0,152315,0.0,10
