,fa_dun_dev,PredictionRunName,cart_bonded,fa_intra_sol_xover4,yhh_planarity,total,fa_intra_elec,fa_dun_semi,pro_close,hbond_sr_bb,fa_sol,lk_ball_bridge,rama_prepro,hbond_sc,ScoreMethodID,ref,ExperimentalDDG,hbond_bb_sc,lk_ball_wtd,lk_ball_iso,fa_intra_rep_xover4,fa_dun,fa_intra_rep,StructureOrder,fa_rep,lk_ball,fa_dun_rot,omega,fa_elec,hbond_lr_bb,hxl_tors,fa_atr,lk_ball_bridge_uncpl,fa_intra_atr_xover4,p_aa_pp,PredictionID,rama,DataSetID
0,,zemu_control-69aa526,,,0.0,2.5932,,,0.0,0.0,-0.4096,,,-0.0129,8,0.0,2.1978,-0.0585,,,,0.0,0.0,id_50,-0.3274,,,0.0,-0.0392,0.1497,,3.291,,,0.0,151066,0.0,1
1,,zemu_control-69aa526,,,0.0,4.5587,,,0.0,-0.0,-0.2593,,,-0.0444,8,0.0,4.6936,0.014,,,,0.0,0.0,id_50,-0.2446,,,0.0,-0.1102,0.1089,,5.0943,,,0.0,151067,0.0,2
2,,zemu_control-69aa526,,,0.0,-0.0267,,,0.0,-0.0,-0.3356,,,0.048,8,0.0,3.0829,0.0219,,,,0.0,0.0,id_50,-0.0631,,,0.0,-0.0122,-0.0315,,0.3456,,,0.0,151068,0.0,3
3,,zemu_control-69aa526,,,0.0,-0.0927,,,0.0,0.0,-0.1865,,,-0.1025,8,0.0,2.9278,-0.021,,,,0.0,0.0,id_50,-0.0373,,,0.0,0.0617,0.1218,,0.0711,,,0.0,151069,0.0,4
4,,zemu_control-69aa526,,,0.0,-0.2295,,,0.0,0.0,-0.2124,,,-0.0955,8,0.0,3.2407,-0.0147,,,,0.0,0.0,id_50,-0.0861,,,0.0,0.0692,0.0526,,0.0574,,,0.0,151070,0.0,5
5,,zemu_control-69aa526,,,0.0,-0.185,,,-0.0,0.0,-0.2939,,,0.1111,8,0.0,5.0675,-0.0068,,,,0.0,0.0,id_50,-0.0191,,,0.0,-0.1626,-0.0693,,0.2556,,,0.0,151071,0.0,6
6,,zemu_control-69aa526,,,0.0,0.2855,,,0.0,-0.0,-7.0951,,,-0.0004,8,0.0,1.9939,0.0444,,,,0.0,0.0,id_50,-0.2665,,,0.0,0.9248,-0.3017,,6.9801,,,0.0,151072,0.0,7
7,,zemu_control-69aa526,,,0.0,-0.4589,,,0.0,0.0,-1.1813,,,0.0854,8,0.0,0.5554,0.018,,,,0.0,0.0,id_50,0.0138,,,0.0,0.1389,0.0,,0.4664,,,0.0,151073,0.0,8
8,,zemu_control-69aa526,,,0.0,1.1007,,,-0.0,0.0,-1.8793,,,1.1984,8,0.0,0.248,0.0182,,,,0.0,0.0,id_50,0.0921,,,0.0,0.7604,0.0,,0.9108,,,0.0,151074,0.0,9
9,,zemu_control-69aa526,,,0.0,3.2874,,,0.0,0.0,-5.8074,,,0.5856,8,0.0,6.8124,-0.2012,,,,0.0,0.0,id_50,-0.4862,,,0.0,2.0226,0.0,,7.1741,,,0.0,151075,0.0,10
10,,zemu_control-69aa526,,,0.0,6.9994,,,0.0,0.0,-5.271,,,1.2698,8,0.0,6.6383,-0.0241,,,,0.0,0.0,id_50,-0.3128,,,0.0,0.8939,0.0,,10.4436,,,0.0,151076,0.0,11
