,fa_dun_dev,PredictionRunName,cart_bonded,fa_intra_sol_xover4,yhh_planarity,total,fa_intra_elec,fa_dun_semi,pro_close,hbond_sr_bb,fa_sol,lk_ball_bridge,rama_prepro,hbond_sc,ScoreMethodID,ref,ExperimentalDDG,hbond_bb_sc,lk_ball_wtd,lk_ball_iso,fa_intra_rep_xover4,fa_dun,fa_intra_rep,StructureOrder,fa_rep,lk_ball,fa_dun_rot,omega,fa_elec,hbond_lr_bb,hxl_tors,fa_atr,lk_ball_bridge_uncpl,fa_intra_atr_xover4,p_aa_pp,PredictionID,rama,DataSetID
13,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,2.195,,,0.0,-0.0,-1.1325,,0.0,0.0237,35000,0.0,2.1978,0.0185,0.021,,,0.0,0.0,id_50,-0.4455,,,0.0,0.0396,-0.0008,,3.6709,,,0.0,146106,,1
37,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.9142,,,-0.0,-0.0,0.2134,,0.0,0.0162,35000,0.0,4.6936,-0.0453,0.149,,,0.0,0.0,id_50,-0.65,,,0.0,0.1386,-0.0216,,6.1139,,,0.0,146107,,2
61,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.1057,,,0.0,-0.0,-0.0545,,0.0,-0.078,35000,0.0,3.0829,0.0445,0.0116,,,0.0,0.0,id_50,-0.0343,,,0.0,-0.0566,-0.0042,,0.0659,,,0.0,146108,,3
85,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.0481,,,0.0,-0.0,-0.2149,,0.0,-0.0517,35000,0.0,2.9278,0.0135,-0.0963,,,0.0,0.0,id_50,-0.0347,,,0.0,0.3315,0.024,,-0.0196,,,0.0,146109,,4
109,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.1732,,,-0.0,0.0,-0.4247,,0.0,-0.1694,35000,0.0,3.2407,0.0711,-0.08,,,0.0,0.0,id_50,-0.0377,,,0.0,0.3199,-0.0054,,0.1529,,,0.0,146110,,5
133,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,0.0375,,,0.0,-0.0,-0.3984,,0.0,-0.0466,35000,0.0,5.0675,0.0472,0.006,,,0.0,0.0,id_50,-0.0836,,,0.0,0.257,0.0219,,0.2341,,,0.0,146111,,6
157,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-1.4819,,,-0.0,0.0,-13.0319,,0.0,0.1616,35000,0.0,1.9939,0.1422,0.4931,,,0.0,0.0,id_50,-0.9182,,,0.0,2.9235,-0.2009,,8.9487,,,0.0,146112,,7
181,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-0.5191,,,-0.0,-0.0,-1.4351,,0.0,0.1124,35000,0.0,0.5554,0.0337,0.0967,,,0.0,0.0,id_50,-0.0682,,,0.0,0.2663,-0.0,,0.4751,,,0.0,146113,,8
205,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,1.8473,,,-0.0,0.0,-2.2696,,0.0,2.6846,35000,0.0,0.248,-0.1572,-0.1535,,,0.0,0.0,id_50,0.2108,,,0.0,0.8187,-0.0,,0.7134,,,0.0,146114,,9
229,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.8207,,,0.0,0.0,-8.2134,,0.0,1.1597,35000,0.0,6.8124,-0.0054,0.1756,,,0.0,-0.0,id_50,-0.9823,,,0.0,6.1466,0.0,,7.54,,,0.0,146115,,10
253,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,10.7048,,,-0.0,-0.0,-4.6888,,0.0,2.9355,35000,0.0,6.6383,0.0005,-0.0089,,,0.0,0.0,id_50,-0.8801,,,0.0,1.5561,-0.0,,11.7905,,,0.0,146116,,11
277,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.8026,,,-0.0,-0.0,-7.0773,,0.0,0.4524,35000,0.0,6.974,0.4355,0.6568,,,0.0,0.0,id_50,-0.6469,,,0.0,2.2141,-0.0,,9.768,,,0.0,146117,,12
301,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,4.3241,,,-0.0,0.0,-11.4391,,0.0,1.4386,35000,0.0,6.7643,0.2496,0.1514,,,0.0,0.0,id_50,-0.8962,,,0.0,8.3518,-0.0,,6.468,,,0.0,146118,,13
325,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,7.6027,,,-0.0,0.0,-12.9456,,0.0,1.3545,35000,0.0,10.1004,0.252,0.5613,,,0.0,0.0,id_50,-1.2126,,,0.0,8.0897,-0.0,,11.5033,,,0.0,146119,,14
349,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,11.5535,,,0.0,0.0,-8.9736,,0.0,2.3455,35000,0.0,8.5256,0.2317,0.6492,,,0.0,0.0,id_50,-1.3035,,,0.0,3.1391,0.0,,15.4651,,,0.0,146120,,15
373,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.146,,,0.0,-0.0,-4.9366,,0.0,1.018,35000,0.0,3.2342,0.0629,-0.4892,,,0.0,0.0,id_50,-0.9939,,,0.0,6.0749,-0.0,,4.4099,,,0.0,146121,,16
397,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,3.3885,,,0.0,0.0,-5.3222,,0.0,0.8711,35000,0.0,6.6603,-0.2094,-0.1744,,,0.0,0.0,id_50,-0.7583,,,0.0,4.7888,0.0,,4.1929,,,0.0,146122,,17
421,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,2.3945,,,-0.0,0.0,-6.8729,,0.0,0.5028,35000,0.0,4.1066,-0.293,0.2678,,,0.0,0.0,id_50,-0.8846,,,0.0,4.7195,0.0,,4.9548,,,0.0,146123,,18
445,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,10.2929,,,0.0,-0.0,-6.5821,,0.0,3.1414,35000,0.0,6.4454,-0.1811,-0.5342,,,0.0,0.0,id_50,-1.3967,,,0.0,5.737,-0.0,,10.1087,,,0.0,146124,,19
469,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,5.6851,,,-0.0,0.0,-8.913,,0.0,1.0694,35000,0.0,6.1997,-0.0765,0.2453,,,0.0,0.0,id_50,-1.3512,,,0.0,5.9754,-0.0,,8.7357,,,0.0,146125,,20
493,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,12.8906,,,-0.0,0.0,-7.7538,,0.0,3.3563,35000,0.0,9.1169,-0.1369,-0.3309,,,0.0,0.0,id_50,-1.6265,,,0.0,5.7917,0.0,,13.5907,,,0.0,146126,,21
517,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-1.1023,,,-0.0,-0.0,-1.4303,,0.0,-0.0737,35000,0.0,0.1187,-0.0192,0.2151,,,0.0,-0.0,id_50,0.0324,,,0.0,-0.0201,0.0,,0.1936,,,0.0,146127,,22
541,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,1.5238,,,-0.0,0.0,-2.4754,,0.0,2.0331,35000,0.0,2.1496,0.0292,0.0604,,,0.0,-0.0,id_50,-0.0261,,,0.0,1.2964,-0.0,,0.6061,,,0.0,146128,,23
565,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,3.9941,,,0.0,0.0,-6.786,,0.0,0.5234,35000,0.0,7.168,-0.048,0.1792,,,0.0,0.0,id_50,-1.6602,,,0.0,3.991,0.0,,7.7947,,,0.0,146129,,24
589,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,8.2012,,,0.0,-0.0,-4.3958,,0.0,1.7885,35000,0.0,7.2378,0.1491,0.1945,,,0.0,-0.0,id_50,-2.0588,,,0.0,0.8592,-0.0,,11.6645,,,0.0,146130,,25
613,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,0.034,,,0.0,0.0,-0.4227,,0.0,-0.0779,35000,0.0,0.2401,-0.0057,0.1134,,,0.0,0.0,id_50,-0.0386,,,0.0,0.052,0.0,,0.4135,,,0.0,146131,,26
637,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,3.864,,,0.0,0.0,-6.6626,,0.0,0.9608,35000,0.0,1.2556,0.0087,-0.1994,,,0.0,0.0,id_50,-0.3055,,,0.0,5.9239,0.0,,4.138,,,0.0,146132,,27
661,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,-1.1147,,,0.0,0.0,-6.4319,,0.0,-0.1308,35000,0.0,3.476,-0.0868,-0.1038,,,0.0,0.0,id_50,-0.4225,,,0.0,2.4176,0.0,,3.6435,,,0.0,146133,,28
685,,zemu_1.2-60000_rscript_validated-ref,,0.0,0.0,0.8778,,,0.0,-0.0,-2.5865,,0.0,0.5813,35000,0.0,2.364,0.3798,-0.1833,,,0.0,0.0,id_50,-0.122,,,0.0,0.7251,0.0,,2.0835,,,0.0,146134,,29
